Column 2	Column 5	Column 6	Column 7	Column 11
Allenbach,Allenbach,Alenbakh,Allenbakh,a lun ba he,alnbakh,Аленбах,Алленбах,النباخ,阿伦巴赫	49.75449	7.1672	P	08
Allendorf,Allendorf,	50.26778	7.99882	P	08
Allenfeld,Allenfeld,	49.86667	7.66667	P	08
Allenz,Allenz,	50.29755	7.2311	P	08
Almersbach,Almersbach,Al'mersbakh,Almersbakh,a er mei er si ba he,Алмерсбах,Альмерсбах,阿尔梅尔斯巴赫	50.68333	7.63333	P	08
Alpenrod,Alpenrod,	50.63333	7.86667	P	08
Alsbach,Alsbach,	50.46411	7.66198	P	08
Alschbach,Alschbach,	49.23954	7.23806	P	09
Alsdorf,Alsdorf,	50.77736	7.88562	P	08
Alsdorf,Alsdorf,	49.88833	6.4682	P	08
Alsenborn,Alsenborn,Alsenborn,alsnbwrn,السنبورن	49.48333	7.91667	P	08
Alsenbrück,Alsenbrueck,	49.56668	7.87303	P	08
Alsenbrück-Langmeil,Alsenbrueck-Langmeil,	49.56645	7.88479	P	08
Alsenz,Alsenz,Al'zenc,Alsenc,a er sen ci,alsnz,aruzentsu,Алсенц,Альзенц,السنز,アルゼンツ,阿尔森茨	49.71667	7.81667	P	08
Alsfassen,Alsfassen,	49.47505	7.15672	P	09
Alsheim,Alsheim,Al'skhajm,Alskhajm,a er si hai mu,alshaym,Алсхајм,Альсхайм,آلسهایم,阿尔斯海姆	49.76806	8.34028	P	08
Alsheim-Gronau,Alsheim-Gronau,	49.43333	8.26667	P	08
Alsterweiler,Alsterweiler,Alsterweiler	49.30887	8.11999	P	08
Alsweiler,Alsweiler,	49.47217	7.06983	P	09
Altbreitenfelderhof,Altbreitenfelderhof,	49.38047	7.29458	P	09
Altdorf,Altdorf,	49.28722	8.21611	P	08
Altenahr,Altenahr,Al'tenar,Altenar,Altenaras,a er te na er,altynahr,aruten'aru,Алтенар,Альтенар,التیناهر,アルテンアール,阿尔特纳尔	50.51694	6.99206	P	08
Altenbamberg,Altenbamberg,Al'tenbamberg,Altenbamberg,a er teng ban bei ge,altynbambrg,Алтенбамберг,Альтенбамберг,التینبامبرگ,阿尔滕班贝格	49.78333	7.83333	P	08
Altenbrendebach,Altenbrendebach,	50.7662	7.79425	P	08
Altenburg,Altenburg,	50.63356	7.46139	P	08
Altenburg,Altenburg,	50.51145	6.98795	P	08
Altendiez,Altendiez,	50.36667	7.98333	P	08
Altenglan,Altenglan,Al'tenglan,Altenglan,a er teng lan,altnglan,arutenguran,Алтенглан,Альтенглан,التنگلان,アルテングラン,阿尔滕兰	49.55	7.46667	P	08
Altenhof,Altenhof,Altenhof	49.47335	7.91282	P	08
Altenhofen,Altenhofen,	50.66162	7.47361	P	08
Altenkessel,Altenkessel,Altenkessel	49.25998	6.91619	P	09
Altenkirchen,Altenkirchen,Al'tehnkirkhen,Al'tenkirkhen,Altenkirchen,Altenkirkhen,a er teng ji xing,altnkyrshn,Алтенкирхен,Альтенкирхен,Альтенкірхен,Альтэнкірхен,آلتنکیرشن,阿尔滕基兴	50.68594	7.64176	P	08
Altenkirchen,Altenkirchen,Al'tenkirkhen,Altenkirkhen,altnkyrchn  kasl,Алтенкирхен,Альтенкирхен,التنکیرچن، کاسل	49.44313	7.32084	P	08
Altenwald,Altenwald,Altenwald	49.31284	7.08274	P	09
Alterkülz,Alterkulz,Al'terkjul'c,Alterkilc,a er te er qu er ci,altrkwlz,Алтеркилц,Альтеркюльц,الترکولز,阿尔特尔屈尔茨	50.03333	7.46667	P	08
Altforweiler,Altforweiler,	49.27411	6.70598	P	09
Altheim,Altheim,Altheim	49.17189	7.31259	P	09
Althof,Althof,	49.68062	7.88369	P	08
Althornbach,Althornbach,	49.20376	7.37515	P	08
Althütterhof,Althuetterhof,	49.4955	7.78768	P	08
Alt-Kürenz,Alt-Kuerenz,	49.75937	6.6626	P	08
Altland,Altland,	49.51051	6.91856	P	09
Altlay,Altlay,Al'tlaj,Altlaj,a er te lai,altlay,Алтлај,Альтлай,التلای,阿尔特莱	49.98769	7.27182	P	08
Altleiningen,Altleiningen,Al'tlajningen,Altlajningen,Altleiningen,altlynyngn,jiu lai ning gen,Алтлајнинген,Альтлайнинген,التلینینگن,旧莱宁根	49.5075	8.07333	P	08
Altrich,Altrich,	49.95701	6.91217	P	08
Altrip,Altrip,Al'trip,Aldrib,Altrip,a er te li pu,altryp,arutorippu,Алтрип,Альтрип,التریپ,アルトリップ,阿尔特里普	49.43556	8.49472	P	08
Altscheid,Altscheid,	50.01667	6.4	P	08
Altscheuern,Altscheuern,	50.03101	6.31192	P	08
Altstadt,Altstadt,	50.65655	7.81253	P	08
Altstadt,Altstadt,	49.32356	7.28771	P	09
Altstadt,Altstadt,	49.75493	6.63984	P	08
Altstrimmig,Altstrimmig,	50.1	7.3	P	08
Altweidelbach,Altweidelbach,	49.98333	7.56667	P	08
Altwied,Altwied,	50.48297	7.46584	P	08
Alzey,Alzey,Alzey,XZY	49.74657	8.11513	P	08
Alzheim,Alzheim,Alzheim	50.29799	7.22867	P	08
Ammeldingen,Ammeldingen,Ammeldingen,Ammeldingen an der Our	49.88991	6.25467	P	08
Ammeldingen,Ammeldingen,Ammeldingen,Ammeldingen bei Neuerburg	50.0478	6.274	P	08
Ammerich,Ammerich,	50.61023	7.42473	P	08
Amoshof,Amoshof,	49.5658	7.70573	P	08
Amteroth,Amteroth,	50.67027	7.66552	P	08
Andel,Andel,	49.90824	7.04161	P	08
Andernach,Andernach,Andernach,Andernachas,Andernaho,Andernakh,Andernaĥo,Stadt Andernach,an de na he,andanahha,andrnakh,Андернах,آندرناخ,アンダーナッハ,安德纳赫	50.43109	7.40425	P	08
Angschied,Angschied,	50.14465	7.91916	P	08
Anhausen,Anhausen,Ankhauzen,an hao sen,Анхаузен,安豪森	50.5	7.55	P	08
Annenberg,Annenberg,	49.87347	7.08983	P	08
Annweiler am Trifels,Annweiler am Trifels,Annwailer,Annweiler,Annweiler am Trifels,Anvajler kod Trifelsa,Anvajler-na-Trifel'se,anfaylar am tryflz,anwaylar an dr tryflz,te li fei er si shan lu an wei lei,Анвайлер-на-Трифельсе,Анвајлер код Трифелса,آنفايلار آم تريفلز,آنوایلار آن در تریفلز,アンヴァイラー・アム・トリフェルス,特里费尔斯山麓安韦勒	49.20613	7.97527	P	08
Anschau,Anschau,	50.3	7.1	P	08
Antweiler,Antweiler,Antvajler,an te wei lei,antovuaira,Антвайлер,Антвајлер,アントヴァイラー,安特韦勒	50.4	6.83333	P	08
Apostelmühle,Apostelmuehle,	49.25063	7.61652	P	08
Appenheim,Appenheim,	49.93	8.03333	P	08
Appenhofen,Appenhofen,	49.14184	8.08118	P	08
Appenthal,Appenthal,	49.34831	7.95005	P	08
Arbach,Arbach,	50.28333	7.05	P	08
Aremberg,Aremberg,Aremberg,a lun bei ge,arenberuku,Аремберг,アレンベルク,阿伦贝格	50.41667	6.8	P	08
Arenberg,Arenberg,	50.36717	7.65251	P	08
Arenberg-Immendorf,Arenberg-Immendorf,	50.36667	7.65	P	08
Arenrath,Arenrath,	49.95	6.73333	P	08
Arft,Arft,	50.38333	7.08333	P	08
Argenschwang,Argenschwang,Argenshvang,a er gen shi wang,Аргеншванг,阿尔根施旺	49.88333	7.7	P	08
Argenthal,Argenthal,Argental,Argental',a er gen ta er,Аргентал,Аргенталь,阿尔根塔尔	49.96667	7.6	P	08
Ariendorf,Ariendorf,	50.5269	7.29806	P	08
Arienheller,Arienheller,	50.50967	7.33472	P	08
Armsheim,Armsheim,Armskhajm,a er mu si hai mu,Армсхайм,Армсхајм,阿尔姆斯海姆	49.80972	8.05667	P	08
Arnshöfen,Arnshofen,	50.54056	7.87	P	08
Arzbach,Arzbach,Arcbakh,a er ci ba he,Арцбах,阿尔茨巴赫	50.37902	7.74948	P	08
Arzfeld,Arzfeld,Arcfel'd,Arcfeld,a er ci fei er de,arutsuferuto,Арцфелд,Арцфельд,アルツフェルト,阿尔茨费尔德	50.08957	6.27069	P	08
Arzheim,Arzheim,	50.35469	7.63202	P	08
Arzheim,Arzheim,	49.19354	8.06916	P	08
Asbach,Asbach,	49.81667	7.28333	P	08
Asbach,Asbach,Asbakh,asubahha,Асбах,アスバッハ	50.66667	7.41667	P	08
Asbacherhütte,Asbacherhuette,	49.80434	7.28019	P	08
Aschbach,Aschbach,	49.43504	6.95046	P	09
Aschbach,Aschbach,Ashbakh,a shi ba he,Ашбах,阿施巴赫	49.6	7.58333	P	08
Aschbacherhof,Aschbacherhof,	49.39325	7.75697	P	08
Aschbacherhof,Aschbacherhof,	49.23333	6.91667	P	09
Ascheid,Ascheid,	50.62356	7.58861	P	08
Aspisheim,Aspisheim,	49.9	7.98333	P	08
Asselheim,Asselheim,Asselheim	49.57874	8.162	P	08
Assenheim,Assenheim,Assenheim	49.42335	8.28715	P	08
Aßweiler,Assweiler,Assweiler,Aßweiler	49.21664	7.18528	P	09
Asterstein,Asterstein,	50.35081	7.61897	P	08
Astert,Astert,	50.695	7.77833	P	08
Asweiler,Asweiler,	49.54938	7.19296	P	09
Attenhausen,Attenhausen,	50.29197	7.87557	P	08
Atzelgift,Atzelgift,	50.7	7.83333	P	08
Auderath,Auderath,Anderath,Auderath	50.18333	7	P	08
Auel,Auel,	50.28274	6.58792	P	08
Auel,Auel,	50.16667	7.76667	P	08
Auen,Auen,Auehn,Auen,ao en,Ауен,Ауэн,奥恩	49.83333	7.6	P	08
Auersmacher,Auersmacher,	49.1432	7.05305	P	09
Auf dem Bock,Auf dem Bock,Auf dem Bock,Bock	50.16316	6.18221	P	08
Aull,Aull,	50.38556	8.00194	P	08
Auschet,Auschet,	49.47785	6.85115	P	09
Außen,Aussen,	49.44646	6.84441	P	09
Autishof,Autishof,	49.95753	7.73797	P	08
Auw,Auw,Aue,Auw	49.90173	6.61464	P	08
Auw,Auw,Auw	50.3008	6.33859	P	08
Ayl,Ayl,	49.63333	6.55	P	08
Baalborn,Baalborn,	49.50148	7.83656	P	08
Bach,Bach,	50.65645	7.99036	P	08
Bacharach,Bacharach,Bacharach,Bakharakh,ba ha la,bahharahha,bakharakh,bkrk,Бахарах,בכרך,باخاراخ,باخ‌آراخ,バッハラッハ,巴哈拉	50.05725	7.76948	P	08
Bachem,Bachem,Bachem	50.5399	7.11336	P	08
Bachem,Bachem,Bachem	49.47776	6.70467	P	09
Bachenberg,Bachenberg,	50.71667	7.65	P	08
Backhaus,Backhaus,	50.82412	7.88298	P	08
Bad Bergzabern,Bad Bergzabern,Bad Bergcabern,Bad Bergzaben,Bad Bergzabern,Bad-Bergcabern,Bergzabern,Tabernae Montanus,ba te bei ge cha bo en,bad byrghtsabrn,Бад Бергцаберн,Бад-Бергцаберн,باد برگ‌زابرن,باد بيرغتسابرن,バート・ベルクツァバン,巴特贝格察伯恩	49.10245	8.00092	P	08
Bad Bertrich,Bad Bertrich,Bad Bertrikh,Bad-Bertrikh,ba te bei er te li xi,Бад Бертрих,Бад-Бертрих,巴特贝尔特里希	50.06667	7.03333	P	08
Bad Breisig,Bad Breisig,Bad Brajzig,Bad Breisig,Bad Breissig,Bad-Brajzig,ba te bu lai xi xi,bad brayzyg,bad brayzygh,Бад Брајзиг,Бад-Брайзиг,باد برايزيغ,باد برایزیگ,バート・ブライジク,巴特布赖西希	50.50523	7.28861	P	08
Bad Dürkheim,Bad Duerkheim,Bad Dirkkhajm,Bad Djurkkhajm,Bad Duerkheim,Bad Durkheim,Bad Dürkheim,Bad-Djurkkhajm,Derkem,Durkheim,Dürkheim,ba te di ke hai mu,bad dwrkhaym,Бад Диркхајм,Бад Дюркхайм,Бад-Дюркхайм,Бад-Дүркхайм,باد دوركهايم,باد دورک‌هایم,バート・デュルクハイム,巴特迪克海姆	49.4618	8.17236	P	08
Badem,Badem,	50	6.61667	P	08
Bad Ems,Bad Ems,Bad Ems,Bad-Ehms,Bad-Ems,Ems,ba te ai mu si,bad ams,Бад Емс,Бад-Емс,Бад-Эмс,בד אמס,باد إمس,باد امس,バート・エムス,巴特埃姆斯	50.33544	7.71369	P	08
Badenborn,Badenborn,	49.90691	6.52262	P	08
Badenhard,Badenhard,	50.11667	7.63333	P	08
Badenheim,Badenheim,	49.83333	7.96667	P	08
Bad Hönningen,Bad Hoenningen,Bad Hoenningen,Bad Honningen,Bad Hönningen,Bad Kheningen,Bad-Khjonningen,Honningen,Hönningen,ba te heng ning gen,bad hwnynghn,bad hwnyngn,Бад Хенинген,Бад-Хённинген,Бад-Хөннинген,باد هونينغن,باد هونینگن,バート・ヘニンゲン,巴特亨宁根	50.51689	7.31195	P	08
Bad Kreuznach,Bad Kreuznach,Bad Kreuznach,Bad Krojcnakh,Bad-Krojcnakh,Cruciniacum,Kreuznach,ba te ke luo yi ci na he,bad krwytsnakh,Бад Кройцнах,Бад Кројцнах,Бад-Кройцнах,باد كرويتسناخ,باد کرویتسناخ,バート・クロイツナハ,巴特克罗伊茨纳赫	49.8414	7.86713	P	08
Bad Marienberg,Bad Marienberg,Bad Marienberg,Bad Marinberg,Bad-Marienberg,Marienberg,ba te ma lin bei ge,bad marynbrg,bad marynbrgh,Бад Маринберг,Бад-Мариенберг,باد مارينبرغ,باد مارینبرگ,バート・マリーエンベルク,巴特马林贝格	50.64947	7.94958	P	08
Bad Münster am Stein-Ebernburg,Bad Muenster am Stein-Ebernburg,Bad Minster am Shtajn-Ebernburg,Bad Munster,Bad Munster am Stein-Ebernburg,Bad Munster-Ebernburg,Bad Münster,Bad Münster am Stein-Ebernburg,Bad Münster-Ebernburg,Bad-Mjunster-na-Shtajn-Ehbernburge,Ebernburg,bad mwnsr an dr ashtayn-arnbwrg,bad mwnstr am shtayn-abrnbwrgh,shi tai yin-ai bo en bao de qu ba te ming si te,Бад Минстер ам Штајн-Ебернбург,Бад-Мюнстер-на-Штайн-Эбернбурге,Штайн-Эбернбургдагы Бад-Мүнстөр,باد مونستر آم شتاين-إبرنبورغ,باد مونسر آن در اشتاین-ارنبورگ,施泰因-埃伯恩堡地区巴特明斯特	49.81159	7.84523	P	08
Bad Neuenahr,Bad Neuenahr,Bad Neuenahr	50.54484	7.13386	P	08
Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler,Bad Nojenar-Arvajler,Bad-Nojenar-Arvajler,Stadt Bad Neuenahr-Ahrweiler,ba te nuo yin a er-a er wei lei,bad nwynar-arfaylr,Бад Нойенар-Арвайлер,Бад Нојенар-Арвајлер,Бад-Нойенар-Арвайлер,باد نوينار-آرفايلر,باد نوین‌آر-آروایلار,バート・ノイェンアール＝アールヴァイラー,巴特诺因阿尔-阿尔韦勒	50.54322	7.1113	P	08
Bad Salzig,Bad Salzig,Bad Salzig	50.2062	7.63278	P	08
Bad Sobernheim,Bad Sobernheim,Bad Zobernkhajm,Bad-Zobernkhajm,ba te suo bo en hai mu,bad zwbrnhaym,Бад Зобернхайм,Бад Зобернхајм,Бад-Зобернхайм,باد زوبرنهايم,باد زوبرنهایم,巴特索伯恩海姆	49.78636	7.65146	P	08
Baldringen,Baldringen,	49.61667	6.68333	P	08
Balduinstein,Balduinstein,Bal'duinshtajn,Balduinshtajn,ba er du yin si tai yin,Балдуинштајн,Бальдуинштайн,巴尔杜因斯泰因	50.35	7.96667	P	08
Balesfeld,Balesfeld,	50.1	6.53333	P	08
Ballern,Ballern,Ballern	49.44781	6.61076	P	09
Ballweiler,Ballweiler,	49.2038	7.21527	P	09
Baltersweiler,Baltersweiler,Baltersweiler	49.49528	7.16492	P	09
Bambergerhof,Bambergerhof,	49.42111	7.28411	P	08
Bandorf,Bandorf,	50.6098	7.19682	P	08
Bann,Bann,	49.38333	7.61667	P	08
Bannberscheid,Bannberscheid,	50.47183	7.83658	P	08
Barbelroth,Barbelroth,	49.09889	8.06917	P	08
Bardenbach,Bardenbach,Bardenbach	49.50958	6.87136	P	09
Bärenbach,Barenbach,	49.95	7.3	P	08
Bärenbach,Barenbach,Baerenbach,Berenbakh,Bärenbach,Беренбах	49.75	7.45	P	08
Barl,Barl,	50.02742	7.16635	P	08
Bärweiler,Barweiler,Baerweiler,Bervajler,Bärweiler,bei er wei lei,Бервайлер,Бервајлер,贝尔韦勒	49.73333	7.6	P	08
Barweiler,Barweiler,Barvajler,ba er wei lei,baruvuaira,Барвайлер,Барвајлер,バルヴァイラー,巴尔韦勒	50.36667	6.86667	P	08
Basberg,Basberg,	50.3	6.6	P	08
Bäsch,Baesch,	49.74503	7.00878	P	08
Baselt,Baselt,	50.22052	6.49519	P	08
Basselscheid,Basselscheid,	50.14704	7.5407	P	08
Bassenheim,Bassenheim,Bassenkhajm,Bazenkhajm,ba sen hai mu,Базенхајм,Бассенхайм,巴森海姆	50.3582	7.45961	P	08
Battenberg,Battenberg,Battenberg	49.53193	8.13714	P	08
Battweiler,Battweiler,	49.27848	7.46366	P	08
Bauler,Bauler,	50.33333	6.88333	P	08
Bauler,Bauler,	49.96667	6.2	P	08
Baumbach,Baumbach,Baumbach	50.45	7.71667	P	08
Baumholder,Baumholder,Baumholder,Baumkhol'der,Baumkholder,bao mu huo er de er,baumuhoruda,bawmhwldr,Баумхолдер,Баумхольдер,باومهولدر,بوام‌هلدر,バウムホルダー,鲍姆霍尔德尔	49.61738	7.33381	P	08
Bauscheid,Bauscheid,	50.60245	7.56459	P	08
Bausendorf,Bausendorf,	50.01667	7	P	08
Baustert,Baustert,	49.978	6.38984	P	08
Bayerfeld,Bayerfeld,	49.68333	7.8	P	08
Bayerfeld-Steckweiler,Bayerfeld-Steckweiler,	49.67861	7.79772	P	08
Beaumarais,Beaumarais,	49.3115	6.71741	P	09
Bebelsheim,Bebelsheim,	49.1642	7.16103	P	09
Becheln,Becheln,	50.29285	7.71798	P	08
Bechenheim,Bechenheim,	49.72861	8.00333	P	08
Becherbach,Becherbach,	49.74101	7.50037	P	08
Becherbach,Becherbach,Bekherbakh,bei xie er ba he,Бехербах,贝歇尔巴赫	49.65	7.68333	P	08
Bechhofen,Bechhofen,	49.35	7.4	P	08
Bechtheim,Bechtheim,	49.72778	8.29222	P	08
Bechtolsheim,Bechtolsheim,Bechtolsheim,Bekhtol'skhajm,Bekhtolskhajm,bei xi tuo er si hai mu,Бехтолсхајм,Бехтольсхайм,贝希托尔斯海姆	49.80417	8.19389	P	08
Beckingen,Beckingen,Bekingen,Bekkingen,bei jin gen,bekkingen,Бекинген,Беккинген,Беккінген,ベッキンゲン,贝金根	49.4	6.7	P	09
Bedersdorf,Bedersdorf,Bedersdorf	49.30467	6.64241	P	09
Bedesbach,Bedesbach,Bedesbakh,bei de si ba he,Бедесбах,贝德斯巴赫	49.56849	7.45785	P	08
Beeden,Beeden,	49.30722	7.31226	P	09
Beifels,Beifels,Beifels,Hof Beifels	50.05	6.41667	P	08
Beilingen,Beilingen,	49.95	6.66667	P	08
Beilstein,Beilstein,Bajl'shtajn,Bajlshtajn,Beilstein,Байльштайн,Бајлштајн	50.11667	7.25	P	08
Beindersheim,Beindersheim,Bajnderskhajm,Boinderschem,bai yin de er si hai mu,Байндерсхайм,Бајндерсхајм,拜因德尔斯海姆	49.56056	8.31944	P	08
Beinhausen,Beinhausen,	50.26667	6.88333	P	08
Bekond,Bekond,	49.85	6.8	P	08
Belg,Belg,	49.98333	7.3	P	08
Belgweiler,Belgweiler,	49.95	7.48333	P	08
Belingen,Belingen,	49.9798	6.94094	P	08
Bell,Bell,	50.38333	7.23333	P	08
Bell,Bell,Bell	50.06139	7.41515	P	08
Bellenmühle,Bellenmuehle,	49.58333	7.68333	P	08
Beller,Beller,Beller,Better	50.57676	7.10354	P	08
Bellheim,Bellheim,Bel'khajm,Belkhajm,bei er hai mu,Белхајм,Бельхайм,贝尔海姆	49.19833	8.27944	P	08
Bellingen,Bellingen,	50.6	7.9	P	08
Bellscheid,Bellscheid,	50.07298	6.34826	P	08
Beltheim,Beltheim,Bel'tajm,Bel'tkhajm,Beltheim,Beltkhajm,bei er tai mu,Белтхајм,Бельтайм,Бельтхайм,贝尔泰姆	50.10606	7.46208	P	08
Bendorf,Bendorf,Bendorf,bendorufu,bndwrf,bndwrf an dr rayn,Бендорф,بندورف,بندورف آن در راین,ベンドルフ	50.42289	7.57924	P	08
Bendorf-Sayn,Bendorf-Sayn,Bendorf-Sayn,Sayn	50.43633	7.57668	P	08
Bengel,Bengel,	50.01667	7.06667	P	08
Bengen,Bengen,	50.56768	7.1343	P	08
Bennau,Bennau,	50.6619	7.39473	P	08
Bennhausen,Bennhausen,	49.61667	7.98333	P	08
Benzweiler,Benzweiler,	50.01667	7.6	P	08
Bereborn,Bereborn,	50.28333	6.96667	P	08
Berenbach,Berenbach,	50.23333	6.95	P	08
Berg,Berg,	50.66079	7.5275	P	08
Berg,Berg,	50.55523	6.94886	P	08
Berg,Berg,	50.25428	7.81137	P	08
Berg,Berg,	50.16307	6.2072	P	08
Berg,Berg,	49.53484	6.3868	P	09
Berg,Berg,Berg	48.98403	8.20232	P	08
Bergen,Bergen,	49.78333	7.41667	P	08
Bergen,Bergen,Bergen	49.53309	6.69546	P	09
Bergenhausen,Bergenhausen,	50.67476	7.61181	P	08
Bergenhausen,Bergenhausen,	50.01667	7.56667	P	08
Berghausen,Berghausen,	50.25895	8.00714	P	08
Berghausen,Berghausen,	49.29342	8.40787	P	08
Berglangenbach,Berglangenbach,	49.6	7.25	P	08
Berglicht,Berglicht,	49.78736	6.96585	P	08
Bergnassau-Scheuern,Bergnassau-Scheuern,Bergnassau-Scheuern,Scheuern	50.30776	7.78909	P	08
Bergweiler,Bergweiler,	49.96667	6.81667	P	08
Bergweiler,Bergweiler,Bergweiler	49.47433	6.99412	P	09
Berkoth,Berkoth,	50.04416	6.33991	P	08
Berlingen,Berlingen,	50.23894	6.71934	P	08
Bermel,Bermel,	50.28333	7.08333	P	08
Bermersheim,Bermersheim,	49.68194	8.22361	P	08
Bermersheim,Bermersheim,Bermersheim	49.77831	8.09845	P	08
Berndorf,Berndorf,	50.30506	6.69663	P	08
Berndroth,Berndroth,	50.23716	7.96921	P	08
Bernkastel-Kues,Bernkastel-Kues,Bern Kastel,Bernkastel'-Kus,Bernkastel-Cues,Bernkastel-Kues,Tabernae Mosellanicae-Cusa,bei er en ka si te er-ku ai si,berunkasuteru=kusu,brnksl-kwyz,brnqstl-qwyz,byrnkastl-kwyz,Бернкастел-Куес,Бернкастель-Кус,ברנקסטל-קויז,برنکسل-کوئز,بيرنكاستل-كويز,ბერნკასტელ-კუუსი,ベルンカステル＝クース,贝尔恩卡斯特尔-库埃斯	49.91602	7.07664	P	08
Berod,Berod,Berod,Berod bei Hachenburg,Berod bei Hochstenbach,Berod bei Höchstenbach	50.64755	7.69276	P	08
Berod bei Wallmerod,Berod bei Wallmerod,Berod,Berod bei Wallmerod	50.48333	7.93333	P	08
Berresheim,Berresheim,	50.30182	7.22657	P	08
Berscheid,Berscheid,	49.98333	6.23333	P	08
Berschweiler,Berschweiler,	49.57853	7.29251	P	08
Berschweiler,Berschweiler,	49.33991	6.96145	P	09
Berschweiler,Berschweiler,Berschweiler	49.77157	7.38934	P	08
Berschweiler,Berschweiler,Berschweiler	49.43288	7.03235	P	09
Bertenau,Bertenau,	50.60961	7.44161	P	08
Berus,Berus,Berus	49.2642	6.69587	P	09
Berzhahn,Berzhahn,	50.54	8.00667	P	08
Berzhausen,Berzhausen,	50.65602	7.5681	P	08
Berzweiler,Berzweiler,	49.61046	7.68802	P	08
Besch,Besch,	49.50258	6.3719	P	09
Bescheid,Bescheid,	49.75	6.88333	P	08
Besseringen,Besseringen,	49.4756	6.60416	P	09
Beßlich,Besslich,	49.80244	6.60169	P	08
Bethingen,Bethingen,	49.46031	6.5324	P	09
Betteldorf,Betteldorf,	50.25	6.75	P	08
Bettendorf,Bettendorf,	50.23307	7.86879	P	08
Bettenfeld,Bettenfeld,Beppenfield,Bettenfeld	50.08503	6.7601	P	08
Bettenhausen,Bettenhausen,Bettenhausen	49.46679	7.44938	P	08
Bettgenhausen,Bettgenhausen,	50.64634	7.56806	P	08
Bettingen,Bettingen,	49.44097	6.85759	P	09
Bettingen,Bettingen,Nieder Bettingen	49.94211	6.4016	P	08
Bettingerbrück,Bettingerbrueck,	49.43333	6.85	P	09
Bettingerschmelz,Bettingerschmelz,	49.45	6.85	P	09
Bettonf,Bettonf,	50.89052	7.77624	P	08
Bettstadt,Bettstadt,	49.39117	6.8157	P	09
Betzdorf,Betzdorf,Becdorf,Betzdorf,btzdwrf,Бецдорф,بتزدورف	50.79094	7.87189	P	08
Betzemerhof,Betzemerhof,	50.23448	7.41898	P	08
