sagenid;werkid;sagenidautor;sagenidimwerk;titel;sagenkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
714;5;23;23;Die weiße Frau von Schwanau;;;Gerstheim;7.70453174528;48.3807788366;"von den Straßburgern eingenommen wurde, gestanden hatte, geht eine  weiße Frau um, welche man selbst bei Tag antrifft. Wer das Glück  hat, ihr zu begegnen, ist reich genug. Man erzählt von einer Familie  in Gerstheim, die arm und mit Kindern beladen war. Eines Tages  ging die Mutter hinaus in die Schwanau, um dort Futter zu holen;  sie begegnete der weißen Frau, diese gebot ihr durch Zeichen, ihre  Schürze aufzuheben und gleich warf sie ihr so viel Geld hinein,  als sie tragen konnte.  Diese Familie ist seither sehr wohlhabend und ihre Mitglieder  erzählen mit Vergnügen, daß sie den Ursprung ihres Vermögens  der weißen Frau zu verdanken haben.  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
715;5;24;24;Der Wiwelesweg;;;Gerstheim;7.70453174528;48.3807788366;"Der Volkssage nach hat dieser Weg seinen Namen folgender  Begebenheit zu verdanken : Ein Fräulein aus dem Schlosse  Geroldseck war mit einem Ritter vermählt welcher, auf der Hohen-  burg im Elsaß seine Wohnung hatte. Dies war ein roher, grober,  barbarischer Mann, der die zärtlich erzogene Dame mißhandelte und  sehr unglücklich machte. Sie flehte ihren Vater an, sie wieder zu  holen, aber ihr Gatte wollte sie nicht entlassen, und eine Fehde  wollte der Vater nicht anfangen. Endlich kam sie ganz in Ver-  zweiflung und faßte einen großen Entschluß. Sie schlich nämlich  bei Nacht unbemerkt aus der Burg. eilte den Berg hinab, grade  gegen den Rhein, ließ sich bei Gerstheim über den Rhein segen  und zog immer in gerader Richtung zur Geroldseck. Das Volk  erstaunt, ein junges, hübsches, zartes Weibchen „ ein Wiwele“ diesen  Weg mühsam, traurig und allein wandeln zu sehen gab ihm den  Namen „Wiwelesweg"" . Im Bruderthal zeigt man noch einen Felsen,  wo das unglückliche Weibchen ausgeruht haben<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=715"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
716;5;25;25;Die Hülfe der Todten;;;Osthausen;7.65078439355;48.394273648;"Niklaus Zorn von Bulach, welcher seinen Siz in Ost-  hausen, unweit von Maßenheim hatte, war ein braver Ritters-  mann, der in dieser Welt recht gut lebte , aber darüber den  Himmel nicht vergaß. Bei Spiel und Tanz, bei Trinkgelag und  Turnier fehlte er so wenig als bei Glockengeläute und Chorgesang.  Er ging selten an einer Kirche vorüber ohne einzutreten und  wenigstens ein Paternoster oder ein Ave zu sprechen. Auch versäumte  er es nie, wenn er über einen Friedhof ging, für das Heil der  Seelen zu beten, deren Leiber hier ruhten.  Eines Nachts, als er spät vom Humpenklang zurückkehrte, er-  blickte er das Licht der ewigen Lampe in einer Kapelle und wollte  eben über den darum liegenden Kirchhof treten, um sein Gebet  daselbst zu verrichten ; als plöglich zwei vermummte Gestalten mit  blinkenden Waffen auf ihn lossprangen. Aber noch ehe er selbst zum  Schwerte greifen konnte, regte sich's auf dem ganzen Kirchhofe.  Eine Menge von Todtengerippen richteten sich aus ihren Gräbern  empor<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=716"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
717;5;26;26;Die Geistermesse in Erstein;;;Erstein;7.68523629922;48.4213687934;Die alte Kloster- , oder wie sie auch genannt wurde, die Münster-  kirche in Erstein, stand noch im Anfange dieses Jahrhunderts.  Eine Frau, die dieselbe besuchen wollte, wurde von dem hellen  Vollmondschein, der in ihre Kammer fiel, getäuscht und glaubte, sie  habe sich verspätet. Schnell kleidete sie sich an und eilte nach dem  hell erleuchteten Münster, aus welchem die mächtigen Orgeltöne  herausdrangen. Die Kirche war gedrängt voll, der Priester stand am  Altar, Mönche und Nonnen knieten im Chor. Der Frau kam es  seltsam vor, daß sie keine der anwesenden Personen erkannte, be-  scheiden ließ sie sich am Eingange nieder und betete. Siehe, da ward  es plöglich finster in der Kirche und sie befand sich allein, als die  Mitternachtglocke eben ausgeschlagen hatte.  Auch andere Leute des Städtchens haben dieser Geistermesse  beigewohnt oder haben, im Vorübergehen, die Kirche zu so unge-  wohnter Stunde, erleuchtet gesehen.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
718;5;27;27;Maria zur Eich;;;Plobsheim;7.73493123238;48.4612697761;"Ein Ritter jagte einst im Walde bei Plobsheim. Da sah  er plöglich zwei wilde Tauben, welche zuerst einigemale im Kreise  über seinem Haupte hinflogen, sodann ihren Flug in einer gewissen  Richtung hin fortseßten. Blieb er stehn, so kamen sie zurück und  flogen, wie Anfangs, um ihn herum; ging er weiter, so verfolgten  sie dieselbe Richtung, die sie schon früher genommen. Da sie dies  nun mehrere Male wiederholt hatten, so war es dem jagenden Ritter  auffallend. Er folgte ihnen eine Zeit lang durch das Gebüsche und  sah, daß sie sich endlich auf einer großen Eiche niederließen. Als  er näher hinzutrat, erblickte er im hohlen Stamme derselben ein  Marienbild mit dem Jesusknaben. In dieser wundersamen Be-  gebenheit erkannte er sofort ein Zeichen des Himmels ; fiel andächtig  auf die Kniee und gelobte der heil. Maria, an der Stelle eine Kapelle  bauen zu lassen. Also entstand die nachmals berühmt gewordene  Wallfahrtskapelle Maria zur Eich oder bloß zur Eich genannt,  welche bis in die n<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=718"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
719;5;28;28;Das Kloster Eschau;;;Eschau;7.72955536654;48.4832295386;"„Do men zalte noch Goß geburte dccc . und drü jor . do was  Nemigius, der bischof zu Strosburg, by dem bobeste ze Rome  und erwarp das ime der bobest gap sant Sofien lip und ire  drie dochtere libe . Fides . Spes und Caritas . die furte der  bischof von Rome vng (bis) gen Eschowe ( Eschau) in das dorf  und buwete do in ire ere ein herlich kloster das ignote (jet) do  ist . donoch über iiij . halb hundert jor was ein bischof zu Stros-  burg Hegel genant, der gap gros gut an dasselbe kloster und  machte es gar riche : Aber die bischoue (Bischöfe) nement ignote den  klostern lieber denne sü in gebent . ouch worent die kloster in den  tagen vil heiliger denne sü nu sint. ""  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
720;5;29;29;Der Krantzen von Geispolsheim Wappenschild;;;Geispolsheim;7.65806561244;48.5143463092;"""1 Die Kranzen vnd die von Dürckheim, sollen von einem  geschlecht herkommen, deroselben einer von seiner Lini im Mönch  Orden gewesen, als er aber sich als der letst Stammens vnd Na-  mens, herauß begeben müssen, zu erholung des geschlechts, soll der  die Mönchskappen zur gedächtnuß in seinem Wappen geführt  haben. ""  Es war dies scheint's zu Herzog's Zeiten eine bloße Familien-  sage; er seht dazu: „ doch befinde ich hieuon kein bestendigen grund. “  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
724;5;33;33;St. Richardis, Kaiserin, Stifterin der Abtei Andlau;;;Andlau;7.38488102933;48.3907003871;"Richardis, Tochter des Erchengar, Grafen des Nordgaues im  Elsaß, aus Eticho's Geschlecht, Gemahlin Kaiser Karl des Dicken  war so weise und so fromm, daß sie von allem Volke geliebt ward.  Aber die Höflinge hatten des Kaisers Sinn bethört und sie der  Untreue gegen ihn angeklagt. Diese schmachvolle Verleumdung ging  Richardis so sehr zu Herzen, daß sie darob erkrankte.  Da trat eines Tages ein junger Rittersmann hervor und erbot  sich, nach der Sitte jener Zeiten, für die Unschuld der Kaiserin,  gegen deren Verleumder zu kämpfen. Allein keiner wagte es, den  Kampf anzunehmen. Aber die Kaiserin wollte die Schmach nicht  länger tragen. Sie zog ein weißes, seidenes Hemd an, das mit  Wachs bestrichen war, und wandelte also bekleidet durch die Flammen;  und da Hemd und Körper unversehrt geblieben, ward ihre Unschuld  vor der Welt erwiesen, und sie in Ehren erhalten, ihre Widersacher  aber zu Schanden gemacht.  Nun war Richardis ihres ungerechten, finstersinnigen Gemahles  müde, so wie alle<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=724"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
725;5;34;34;Die Bären in der Kirche von Andlau;;;Andlau;7.38488102933;48.3907003871;Die lebendigen Bären, welche man zur Erinnerung an die  Stiftung der Abtei Andlau in der unterirdischen Kapelle daselbst  fütterte, wurden zur Zeit der großen Revolution abgeschafft und  später durch steinerne erseßt, welche sich noch dort befinden.  Eine Frau von Bernhardsweiler, bei Andlau, von etwa  vierzig Jahren, erzählte mir, den 6. Oktober 1849, daß ihre Mutter  die leßten lebendigen Bären noch gesehen habe. Früher schon hatte  man dieselbe abthun wollen, aber da sei ein solches Gepolter hinter  dem Altare entstanden, und haben die Gläubigen, die in der Kapelle  beten wollten, keine Ruhe gehabt, bis man wieder lebendige Bären  angeschafft hatte.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
726;5;35;35;Der Müllerbursche und das Fräulein von Hoh-Andlau;;;Andlau;7.38488102933;48.3907003871;"Die Tochter eines Ritters von Hoh- Andla u hatte einen  schönen Müllerburschen im Thale liebgewonnen und kam oft zu  nächtlicher Stunde, da alles im Schlosse schlief, zu einem heimlichen  Pförtchen herab und besuchte ihn in der Mühle. Sie waren einander  so zugethan, daß Keines ohne das Andere leben mochte und weinten  oft stundenlang miteinander, wenn sie daran dachten, daß sie sich  einst meiden sollten.  Eines Nachts war die Jungfrau nun wieder den Berg herab-  gekommen und hatte die Mühle bereits durchwandert, ohne den Ge-  liebten zu finden. Sie rief ihn ängstlich beim Namen und da sie  keine Antwort erhielt, brach sie in lautes Weinen und Jammern aus.  Nachdem sie also verzweifelnd umhergelaufen war, fand sie ihn end-  lich zerschmettert im Mühlbache. Die Sinne vergingen ihr ; sie  stürzte sich ihm nach in die schäumende Fluth.  Jezt sieht man noch in gewissen Nächten die Gestalten der  beiden Liebenden, jede an einer andern Seite des Ufers hingehen,  und sodann im Getöse der Wel<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=726"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
727;5;36;36;Die Wepfermänner;;;Barr;7.39930438782;48.4149512356;Auf dem Plaze, wo das heutige Gemeindehaus von Barr steht,  befand sich im 13ten Jahrhundert ein großes, festes Schloß, die Klep-  pernburg genanut, welches der adeligen Familie der Wesper-  männer oder Wepfermänner zugehörte, die als böse Raub-  ritter bekannt waren, weßwegen wohl auch das Schloß den Namen  Kleppernburg erhalten hat.  Im Jahr 1234 warf der Teufel das Schloß auf einmal  über einen Haufen. Nachher wurde es wieder aufgebaut, allein im  Jahr 1295 riß es der Teufel zum zweitenmal nieder und litt  nicht mehr, daß es wieder in Stand gestellt würde.  Auch in dem an der Stelle desselben erbauten Gemeindehause  soll es vor Zeiten gespukt haben und noch jezt in dessen Umgegend  nicht geheuer sein.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
728;5;37;37;Das Rothkäppel;;;Barr;7.39930438782;48.4149512356;In der Neugasse zu Barr lebte ein Mehlhändler, der von der  rothen Müße, die er gewöhnlich trug, im ganzen Städtchen und  auch in der Umgegend nur das Rothkäppel genannt wurde.  Er stand im Gerüchte, daß er schlechtes Maß und Gewicht halte  und darum nach seinem Tode umgehen müsse. Auch soll er die  Haus- und Nachbarsleute Nachts häufig beunruhigt haben. Um  sich gegen seine unheimlichen Angriffe zu sichern, ließ man Kapu-  ziner kommen, die bannten ihn, steckten ihn in einen Sack und tru-  gen ihn in den Wald am Rothmannsberg. Dort treibt er  nun sein Wesen, neckt die Vorübergehenden, führt diejenigen, die  sich Nachts verspätet haben, irre und täuscht die Förster durch Axt-  hiebe und Sägen, daß sie meinen, der Wald sei voller Holzdiebe.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
729;5;38;38;Die Erscheinung auf dem Speicher;;;Barr;7.39930438782;48.4149512356;"Ein Knabe von dreizehn bis vierzehn Jahren, welcher in Barr  mit seinen Eltern ein alterthümliches Gebäude bewohnte, hatte den  Auftrag , täglich etliche Rebwellen vom Speicher herab in die  Küche zu tragen. Eines Tages vergaß er über dem Spielen, seine  gewöhnliche Arbeit zu verrichten und mußte nun spät Abends  noch, ohne Licht, auf den Speicher gehen, um sein Rebholz zu holen.  Als er oben angelangt war, fiel ihm eine ungewöhnliche Helle  auf, die zu einem Fenster herein kam, an einer Stelle der Wand,  wo er sonst niemals ein Fenster wahrgenommen hatte. Die Neu-  gierde trieb ihn zu demselben hin, ohne daß sonst ein anderer Ge-  danke, geschweige Furcht, in ihm aufgestiegen wäre.  Er blickte durch das Fenster in eine helle, geräumige Stube,  mit sonderbar aussehenden Mobilien ausgerüstet, die er nachher alle,  beschrieb. Am Tische saß, bei einer alterthümlichen, sehr hell brennen-  den Lampe, eine alte Frau und las, wie es dem Knaben vorkam,  in einem geschriebenen Buche. Ein alter,<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=729"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
730;5;39;39;Wie der Teufel das Städtlein Barr nicht hergeben kann;;;Barr;7.39930438782;48.4149512356;"Als der Teufel in bestem Zuge war, dem Herrn Jesus, den  er versuchte, die ganze Welt zu schenken, wenn derselbe vor ihm  niederfalle und ihn anbeten wollte, hielt er dennoch plöglich inne,  befann sich eine kleine Weile und sagte alsdann: „Warte, eine kleine  Ausnahme muß ich denn doch machen. Ich will von der Erde nur so-  viel zurückbehalten, als jezt der Schatten meines Beines bedecken kann. “  Undbei diesen Worten reckte er das Bein aus, sodaß der Schatten  desselben gerade über das Städtchen Barr zu liegen kam. „ Dieses  allein, fuhr er dann fort, kann ich dir nicht abtreten, denn das  ist mein Erbe von meiner Großmutter her.""  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
731;5;40;40;Der Hungerbrunnen;;;Heiligenstein;7.44087809076;48.4220772866;In Heiligenstein befindet sich ein Brunnen, welcher nur  dann fließt, wenn es ein Hungerjahr geben soll.  Man nennt ihn daher den Hungerbrunnen.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
732;5;41;41;Ein Hexenmahl bei Heiligenstein;;;Heiligenstein;7.44087809076;48.4220772866;",,Den 16. Oktobris 1716, befand sich ein Schreiner oder Tischler  eines unweit Baar im Elsaß gelegenen Dorfe Nahmens Heiligen-  stein, um 5 Uhr in der Fruhe auf dem Speicher oder Fruchtkasten  eines Küfers zu Baar. Als nun der Küfer um Holz zur Arbeit zu  holen in's Obere seines Hauses stieg und die Thür, welche von  außen mit einem Riegel gesperrt ware, öffnete ; fand er einen Mann  allda aufm Bauch in tieffem Schlaf ligen ; und weilen er diesen  Schreiner sonst wohl kennte, so fragte er, was er allda mache ? als  der Schreiner zu sich kam und erkannte, wo er seye, gerieth er in  Erstaunung und sagte: er wisse nicht wie er dahin gekommen seye.  Der Küfer aber mit diesem nicht begnügt, bezuchtigte ihn, er  seye zum stehlen gekommen und liesz ihne vor den Amtmann zu  Baar führen. Als nun dieser ihn darüber fragte ; bekannte er auf-  richtig : als er sich um vier Uhr in der Fruhe von Heiligenstein  nacher Baar (welcher Ort nur eine viertel Stund von jenem entlegen  ist) auf die Strasz be<a href=""https://mosel-sagen.de/einzelansicht-sagen/?markerid=732"">[...]</a>";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
735;5;44;44;Der Jägerpfad bei Ottrott;;;Ottrott;7.36707935429;48.4434374839;"Der Jägerpfad führt von den Ottrotter Schlössern auf  der Ostseite des Elsberges zum Kloster St. Odilien. An ihn knüpft  sich folgende Sage: Vor langer Zeit soll ein Jäger, einen mit einer  Welle dürren Holzes beladenen armen, alten Mann so unbarmher-  zig behandelt haben, daß derselbe zusammenbrach und sterbend aus-  rief; Da du mir das Holz und das Leben geraubt hast, so sollst  du in diesem Walde jagen, bis das Holz, das du mir genommen,  Der Fluch erfüllte sich. Nach dem Tode des Jägers hörte man seine  Stimme im Walde und sah, wie er in voller Waidmannstracht von  zwei Hündlein begleitet jagen ging. Er soll nur erscheinen, wenn das  Wetter sich ändern will. Er kam schon bis dicht an das Dorf und  im nächsten Augenblicke befand er sich schon wieder am Jägerpfad,  seine gefürchtete „Hütata“ schreiend. Die Waldgegend, wo er sich am  meisten aufhält, trägt den Namen Bocksteinfelsen, und hiernach  hat er die Bezeichung Bockstein geist erhalten. -  ";Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
740;5;49;49;Die Geister auf dem Hochfeld;;;Hochfeld;7.56312887309;48.7558373026;Auf dem Hochfeld gehen viele Geister, welche die Leute necken  und irre führen. Kein Bewohner der Umgegend wird zur Nachtzeit  oder bei nebeligem Wetter, selbst am Tage, auf diesen Berg gehen.  Waldhüter, Köhler und Melker, denen alle Stellen desselben bekannt,  sind schon beim hellen Sonnenscheine von ihnen ganz vertrauten  Wegen abgekommen und stundenlang in der Irre herumgeführt  worden.  ;Die Sagen des Elsasses. Zweiter Teil. Die Sagen des Unter-Elsass
