sagenid;werkid;sagennummerimwerk;titel;sagenkategorie;sagengruppe;ortschaft;longitude;latitude;volltext;buchtitel
338;3;89;89. Die Kapelle und das Glöckchen des hl. Cyriakus;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Cyriakuskapelle;0.0;0.0;"89. Die Kapelle und das Glöckchen des hl. Cyriakus.Zwischen Lambrecht und Neustadt a. d. H. führtseitlich eine Straße nach dem Dorfe Linden-berg, über dem ein freundliches Kapellchen aufdem Platze steht, den ehemals die Burg Lindenfelseinnahm. Man verlegt die Zeit ihrer Erbauungin das Jahr 1550 und erzählt über die Wahl desStandortes folgende Sage:Der Baumeister der Kapelle hatte im Sinndieselbe ins Tal zu stellen und schon lagen dieSteine und Balken daselbst bereit. Am nächstenTage sollte der Bau beginnen. Als man aber inder Frühe auf den Platz kam und die Arbeit in An-griff nehmen wollte, da waren Steine und Balkenverschwunden. Nach längerem Suchen fand mansie endlich dort, wo jetzt die Kapelle steht. Nunbrachte man den ganzen Tag damit zu Holz undSteine wieder herabzuschaffen, um den folgendenTag das Werk anfangen zu können.Aber als man des andern Morgens kam, warwieder alles auf der Höhe. Jetzt wurde dem Bau-herrn klar, was zu tun sei. Cyriakus selber hatteanfänglich diesen Ort bestimmt, wo man, dem Him-mel näher und entfernter vom Getriebe der Welt,inniger beten konnte. Und so wurde denn dasKirchlein dahin gebaut, wo es noch heute steht.In der Kapelle hing ein seltsames Glöcklein.So oft der heilige Cyriakus von einer Wanderungheimkam, fing es von selber an zu läuten. Ein-mal nun war er auf der Heimkehr sehr ermüdetund nahm sich einen Wingertspfahl als Stütze.Da blieb das Glöcklein bei seiner Ankunft stumm;Cyriakus brachte den Pfahl wieder in den Wein-berg zurück und das Glöcklein begrüßte ihn daraufwie immer.110 ";Pfälzisches Sagenbuch
339;3;90;90. Der hl. Cyriakus und der Wingertsbalken;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Cyriakuskapelle;0.0;0.0;"90. Der hl. Cyriakus und der Wingertsbalken.Bei Lindenberg steht die Kapelle des hl.Cyriakus, dem noch heute alljährlich an seinemNamenstage (8. August) besonders von Deides-heim aus frühreife Trauben dargebracht werden.Nach der Güte derselben richtet sich die Hoffnungauf den Ausfall des Jahrganges.Der hl. Cyriak hat ehedem, wie das Volkglaubt, an Stelle der heutigen Kapelle in einerKlause gewohnt. Täglich ging er, auch in derschlechten Jahreszeit, den weiten Weg durch denWald nach Deidesheim um die bescheidenen Mittelzu holen, die er zum Leben brauchte. Das Stadt-tor sprang immer von selbst auf, wenn er dortankam.Einmal im tiefen Winter war der Weg die so-genannte „Dopphohle"" herab sehr glatt und der Hei-lige konnte fast nicht weiter kommen. Da nahmer aus einem dortigen Weinberg in der Weinbach""oder im ,,Wiesental"" einen Wingertsbalken und be-nützte ihn als Stock. Als er aber an das Stadttortam, sprang es nicht auf. Sogleich erkannte derhl. Cyriak das begangene Unrecht, machte den Wegzurück und brachte den Balken an seinen Platz.Mit großer Mühe und ohne Stütze gelangte erwieder vor das Tor, das nun wie sonst aufsprang,als er herankam.";Pfälzisches Sagenbuch
340;3;91;91. Die Strutelpeters-Kapelle;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Blieskastel;7.25617;49.23724;91. Die Strutelpeters-Kapelle.Ein junger Bursche aus Ormesheim beiBlieskastel entlief zur Zeit der BelagerungWiens seinen Eltern und trat bei den faiserlichenTruppen ein. Er wurde aber von den Türken ge-fangen genommen und mit nach Asien geschleppt.Weil er standhaft und treu bei seinem altenGlauben beharrte, warf man ihn in den Kerker, woer schwer zu leiden hatte.Da erwachte in ihm wieder die Liebe zur Hei-mat. Er gelobte der hl. Jungfrau: werde er jewieder seine Heimat sehen, so wolle er eine Kapellebauen und wenn er auf eigenem Rücken die Steineherbeitragen müsse.Und siehe, als er eines Morgens erwachte, hörteer über sich den Gesang der Lerchen und erblickteum sich die grünen Fluren der Heimat. Er lagunter einem Schlehdorn, wohin ihn die hl. Jung-frau auf ihrem Sternenmantel getragen hatte, undan der gleichen Stelle baute er ohne Beihilfe einekleine Kapelle, die heute noch nach seinem Namendie Strutelpeters-Kapelle genannt wird.;Pfälzisches Sagenbuch
341;3;92;92. Die St. Lorenzkapelle;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Eschringen;7.10149;49.18894;"92. Die St. Lorenzkapelle.Bei Eschringen steht die St. Lorenz-kapelle. In einer Nische hinter dem Altare be-wahrte sie ehedem des Heiligen Bild. Unten beider Mühle sprudelt noch heute der Lorenzenborn.112 Hier lebte vor Zeiten eine alte Witwe mitihrer Enkelin. Von dem übernächtigen Spinnenwar die Arme fast erblindet und mußte von der ge-wohnten Arbeit lassen.Da geschah es, daß einmal um Mitternacht einaltes, halberstarrtes Mütterlein Einlaß begehrte.Gerne gewährte man ihr Herberge und Erquickung.Und am andern Morgen bestrich die Fremde derKranken die Augen und riet ihr sich siebenmal desTages zu waschen mit frischem Wasser aus dem Bornbei der Mühle. Die Großmutter tat so und siegenas wie durch ein Wunder.Als eines Tages das Mägdlein mit dem Krugewieder zum Brunnen gekommen war, da fuhr eserschrocken zurück; denn aus der Tiefe des Wassersschaute ein Antlitz herauf, so hold und freundlichwie das eines Engels, und diese Erscheinung wieder-holte sich ihr bei jedem Gang an den Brunnen. Manuntersuchte den Quell und zog aus dem Schlammdas Bild des hl. Laurentius und brachte es zurKapelle.Der Brunnen aber, in den also das Bild ge-tommen war, galt als Heilmasser für vielerleiLeiden.";Pfälzisches Sagenbuch
342;3;93;93. Das goldene Kreuz im Klosterweiher;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Niederhochstadt;8.21828;49.242;93. Das goldene Kreuz im Klosterweiher.Eine halbe Stunde östlich von Nieder-hochstadt liegt bei dem Hainbache am Fuße desKlosterberges der Klosterweiher, wo sich einstein weitberühmtes Johanniterkloster erhob. Vondem Stift, das während der französischen Revolu-tion zerstört wurde, ist nichts mehr vorhanden alsdie Ziegel, die auf den Dächern von Niederhochstadtals sogenannte Spitzziegel noch heute in großerZahl zu finden sind.Der Weiher aber liegt in großer Ausdehnungda und steht bei den Bewohnern der Gegend in be-sonderer Achtung. Es wird erzählt, daß die Non-nen beim Nahen der Feinde zu Gott um Rettungflehten. Besonders bange war es ihnen um eingoldenes Kruzifix, einer Zierde des Klosters. Da-mit dieses Heiligtum nicht in die Hände der Feindegerate, warfen sie es in den Teich. Und siehe, also-bald gefror das Wasser zu und eine dicke Eisdeckeschützte das goldene Kreuz vor Raub und machte esden Nonnen möglich sich über den Weiher zu retten.In früheren Jahren hat man oft nach dem gol-denen Kreuze gefischt, jedoch vergebens. Nur Bal-ken und Bretter des ehemaligen Klosters kamendabei zum Vorschein. Aber auch heute noch sollendie Fische des Klosterweihers einen besonders gutenGeschmack haben.;Pfälzisches Sagenbuch
343;3;94;94. Der Servatiusbrunnen;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Servatiusbrunnen;0.0;0.0;94. Der Servatiusbrunnen.Als der heilige Servatius um die Mitte desvierten Jahrhunderts in der Gegend von Speyerwar, wurde er eines Tages auf seiner apostolischenWanderung von brennendem Durste befallen. Ver-gebens schaute der Gottesmann sich nach einem küh-lenden Brunnen oder rieselnden Bächlein um.Da faßte er gläubiges Vertrauen und machtemit dem Finger ein Kreuzzeichen auf den Boden.Alsogleich sprudelte eine lebendige Quelle hervor,welche von da an nie mehr versiegte und nachmalsServatiusbrunnen oder Tafelsbrunnen genanntwurde.;Pfälzisches Sagenbuch
344;3;95;95. Der Lorenzenbrunnen;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Göllheim;8.01423;49.57587;"95. Der Lorenzenbrunnen.Lorenz, ein frommer Hirte, weidete einst seineHerde auf einer Wiese im Walde. Es war ein hei-Ber Sommertag und ein heftiger Durst quälte denHirten. So weit er auch sehen und hören konnte,nirgends gewahrte er ein Bächlein oder eine Quelle.Auch sein Suchen blieb vergeblich; er kam dem Ver-schmachten nahe und flehte in seiner Not zu Gott.Und siehe, als er zufällig seinen Hirtenstab in dieErde stedte, sprudelte an der Stelle ein frischerQuell hervor. Aufrichtig dankte er dem Herrn fürseine Rettung und löschte dann seinen Durst mitdem köstlichen Wasser. Die Quelle aber nannte erzur dauernden Erinnerung Lorenzenbrunnen.Das Wunder wurde bald in der ganzen Um-gegend bekannt und viele Leute wallfahrteten dahinals zu einem heiligen Orte. Noch heutigen Tagesist die Quelle erhalten und in ihrem obern Teilebrunnenähnlich ausgemauert. Sie liegt im Göll-heimer Walde zwischen den sogenannten Heu-wiesen und der Römerstraße.";Pfälzisches Sagenbuch
345;3;96;96. Die Wunder des hl. Philipp von Zell;A. Vom alten und neuen Glauben. (Mythische Sagen.);V. Von Zeichen und Wundern.;Enkenbach;7.9;49.48333;"96. Die Wunder des hl. Philipp von Zell.Der hl. Philippus, der aus Schottland gekom-men war, durchwanderte um das Jahr 750 dasfränkische Reich und verkündete das Evangelium.Er baute sich in dem heutigen Zellertal oberhalbNiefernheim eine kleine Zelle an einem Brun-nen, der noch jetzt Philippsbrunnen heißt, undführte ein andächtiges Leben. Es geschahen zahl-reiche Wunder durch ihn. Wilde Vögel flogen ihmauf die Hand, nahmen Speisen aus derselben undentfernten sich wieder dankbar singend. Die Hafender Gegend sammelten sich um ihn, leckten ihm seineFüße und gingen liebreich von ihm gestreichelt wie-der ins Feld.Einst stahlen ihm Diebe nächtlicherweile zweiOchsen; aber vergebens suchten sie sich zu entfernen.Nach langem Umherirren fanden sie sich des Mor-gens wieder an seiner Tür. Sie fielen ihm zuFüßen und der Bestohlene nahm sie gütig auf,warnte sie vor Wiederholung und schickte sie nachreichlicher Speisung fort.Als Philipp gestorben war und sein Leichnamauf einer Tragbahre lag, da erschien ein Generalder pipinischen Armee. Er war dem Verstorbenendurch traute Liebe verbunden, hatte aber nichts vonseinem Tode gehört. Wie schon oft wollte er sichauch diesmal den Segen des hl. Philipp erbitten,den er in gar manchen Schlachten als sichern Schildkennen gelernt hatte.In seiner Trauer fängt er ein stürmisches Kla-gen an. Da wird der Tote wieder lebendig, erhebtsich von seiner Bahre und flößt dem Freunde Mutein, indem er zu ihm spricht: ,,Reise ab, Gott wirddir jedes Glück gewähren; denke an diesen Ort, so-lange du lebst, gesund wirst du gehen und gesundwieder zurückkehren!""Darnach neigte Philipp sein Haupt wieder undseine ehemaligen Gefährten stellten ihn auf denGrabhügel, den sie bereitet hatten.In feierlicher Prozession wurde nun der Leich-nam in mehrere Klöster getragen. Als der Zugvon Zell aufbrechen wollte, war das Geländeschon einige Tage von Wasser überschwemmt undder Platzregen dauerte noch an. Mit Vertrauen auf des Herrn Hilfe brach man dennoch auf. Plötz-lich ließ der Regen an allen Orten nach, wo sich dieProzession befand, und alles konnte trocknen Fußesgehen. Das Leichentuch über der Bahre wurde nichtvon einem Tropfen berührt und schien nur angenehmbetaut.Der Zug ging durch Enkenbach nach Lau-tern. In der Nähe der Stadt begegnete ihm eineFrau, die war von einem bösen Geist besessen undwurde jämmerlich von demselben auf die Erde ge-worfen und zerstoßen. Auf das Gebet der Gläu-bigen ließ der Herr durch seinen hl. Philipp derUnglücklichen die Gesundheit wieder schenken undsie konnte vor aller Augen gesund die Rückreise inihre Heimat antreten.";Pfälzisches Sagenbuch
346;3;97;97. Die Glocken zu Speyer;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Speyer;8.4;49.35;"97. Die Glocken zu Speyer.Die Glocken zu Speyer zeigten es inalter Zeit jedesmal an, wenndie Sterbestunde eines Kaisersgekommen war. Derselbe durftenoch so ferne weilen, so fingen siedoch zu läuten an, ohne daßjemand daran rührte.Nun kam einst der von allen verlassene KaiserHeinrich IV. als bettelnder Greis nach Speyer undfand in dem letzten ärmlichen Häuschen der VorstadtAufnahme. Noch in gleicher Nacht hauchte er aufharter Lagerstatt sein Leben aus.Da hub die große Kaiserglocke im Dome andumpf und feierlich zu klingen und alle fünfzigGlocken der Stadt fielen mit klagendem Tone ein.In Speyer aber und weit im Lande umher lief dasVolk zusammen und fragte: „Der Kaiser ist ge-storben? Weiß niemand, wo der Kaiser starb?“Nach Jahren erwartete sein verräterischer SohnHeinrich V. in seiner Pfalz zu Speyer auf goldenerLagerstatt den Tod. Geschäftige Diener eilten be-sorgt hin und her, und als das letzte Stündlein kam,da wimmerte es plötzlich durch die Luft. Die kleineGlocke, die Armensünderglocke, die lange verstummtwar, läutete von selbst und mit seltsamem Klangeund keine der vielen Glocken stimmte mit ein.Und wieder lief das Volk in den Straßen zu-sammen wie ehedem; doch fragte es heute: „Werwird denn wohl gerichtet jetzt?""";Pfälzisches Sagenbuch
347;3;98;98. Die fliegende Glocke;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Aschbach b. Kaiserslautern;0.0;0.0;"98. Die fliegende Glocke.In dem ehemaligen Dorfe Aschbach bei Kai-serslautern geschah es, daß man eine Glocke in einenBrunnen versenkte, damit sie vor den Franzosensicher sei. Als sie nun von den Feinden entdecktward, erhob sie sich vor deren Augen und entflognach Horbach. Sie sahen sie fliegen und verfolgtensie auch dorthin. Da sprach die Glocke zu ihren Ver-folgern:,,Susanna heiß' ich,in Horbach bleib' ich,wenn ein Gewitter an den Himmel kommt,so vertreib' ich's.""Das tat denn auch die Glocke einmal bei einemschweren Wetter. Ihren wunderbaren Klang sollman auf drei Wegstunden hören.Etwas anders lautet eine alte Aufzeichnungüber diese Glocke aus dem Jahre 1876:Es war im dreißigjährigen Kriege, als dieFranzosen nach Horbach kamen um die dortige alteGlocke wegzuführen und zu Kanonenguß zu ver-wenden. Doch sie hatten kaum das Weichbild desDorfes erreicht, da sprach die Glocke laut und ver-ständlich:,,Susanne heiß' ich,die Gewitter vertreib' ichund in Horbach bleib' ich.""Voll Schrecken ließen die Franzosen ab von ihremRaube und die Glode blieb der Gemeinde erhalten.Als sie am 12. März 1876 zersprang, da gab esviele Tränen in den Augen der Bewohner. Mitsolcher Liebe hingen sie an der alten Glocke.";Pfälzisches Sagenbuch
348;3;99;99. Die große Glocke von Neustadt;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Königsberg bei Neustadt a. H.;0.0;0.0;99. Die große Glocke von Neustadt.Unweit der Straße, die durch das NeustadterTal führt, und in der Nähe dieser Stadt liegt dieWolfsburg und ihr gegenüber der Königs-berg. Beide sollen durch einen unterirdischenGang miteinander verbunden sein.Beim Wolfsberg ist das Nonnental. Dortwühlte einst ein Eber eine große Glocke aus, die mitHafer angefüllt war. Diese Glocke wurde in demKirchturm zu Neustadt aufgehängt, aber in denneunziger Jahren des 18. Jahrhunderts von denFranzosen zerstört. Sie war wegen ihres hellenKlanges weit und breit berühmt.;Pfälzisches Sagenbuch
349;3;100;100. Die Glocke von Lindesheim;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Colgenstein;8.20478;49.58692;"100. Die Glocke von Lindesheim.Zwischen Obrigheim und Dirmstein lag ehe-mals das Dorf Lindesheim und die Gegendträgt heute noch diesen Namen. Wie der Ort ein-gegangen ist, weiß man nicht; das aber steht fest,daß seine Gemarkung im Jahre 1818 unter die Ge-meinden Obrigheim und Offstein geteilt wurde.Schon in früheren Jahren wühlte eines Tagesauf den Feldern von Lindesheim ein Eber eineGlocke aus dem Boden. Um den Besitz derselbenstritten sich die benachbarten Dörfer Obrigheim,Colgenstein, Dirmstein und Offstein. Schließlichmachte einer den Vorschlag, man solle die Glocke aufeinen Wagen laden und ein blindes Pferd daranspannen. Derjenige Ort, in den das Tier denWagen mit seiner Last ziehe, solle der Eigentümerdes Fundes sein.So geschah es auch. Wahrscheinlich war aberdas Pferd von Colgenstein und lief deshalb auchdorthin. So bekam Colgenstein die Glocke. Bevorsie in dem Kirchturm aufgehängt wurde, ließ manfolgende Worte einhauen:,,Susann"" wurd' ich genannt,Da mich der Eber fandZwischen Erl und Weiden,Wo sich die Gewitter scheiden.Als im Jahre 1866 im Kirchturm zu Colgen-stein Veränderungen vorgenommen wurden, zer-sprang leider die Glocke und mußte umgegossenwerden.";Pfälzisches Sagenbuch
350;3;101;101. Das versunkene Glöcklein;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Eschringen;7.10149;49.18894;"101. Das versunkene Glöcklein.Die St. Lorenzkapelle bei Eschringen warvor Zeiten ein herrliches Kirchlein. Der zierlicheTurm trug ein silbernes Glöcklein von wunder-hellem, seltsam ergreifendem Klange.Da brach ein Krieg aus. Die Feinde kamenund warfen das Bild des hl. Laurentius ins Wasser.Das Glöcklein aber hatte man beizeiten in Sicher-heit gebracht. In die Tiefe des sumpfigen Bachesversenkt ruhte es sicher und geborgen. Es war ganzin der Nähe, wo der Finkelrechweg vorbeiführt.Heute ist der Sumpf verschwunden und niemandweiß mehr die Stelle, wo man das Glöcklein hinab-gesenkt hat. Doch hört man alljährlich in den Tagendes Monats Mai, wenn am Abend die Betglockenläuten, und in der hl. Adventszeit das Klingen desGlöckleins wie aus weiter, verlorener Ferne.Wohl haben sie schon oft nach dem Glöcklein ge-graben, doch immer vergeblich. Ein alter Kloster-bruder aber hat einmal gesagt: „Sobald in der Ge-meinde des Dorfes die altererbte Zwietracht zuschwinden anfängt, hebt sich das Glöcklein um einigeFuß und wird endlich am Festtage allgemeiner Ver-söhnung an der Oberfläche erscheinen.""";Pfälzisches Sagenbuch
351;3;102;102. Die vergrabenen Glocken;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Albersweiler;8.03;49.21917;102. Die vergrabenen Glocken.Das alte Zisterzienserkloster Ra m sen fiel denHeerhaufen der französischen Revolution zum Opfer.Nur die Glocken blieben vor welscher Raubgier ver-schont. Die Mönche brachten sie in der Nacht heim-lich vom Turme und vergruben sie in einer Kloster-wiese. Wo sie verborgen sind, weiß niemand. Manhat schon oft nach ihnen gegraben, bis heute abernichts gefunden. -Nicht weit von Albersweiler bei Landau liegtin einer freundlichen Talmulde das DörfchenSt. Johann oder Kanskirchen. Es besaßehemals ein Nonnenkloster, das später in einSchlößchen umgewandelt wurde. Von seiner altenKirche aber wird erzählt:Zur Zeit eines Krieges, vielleicht des dreißig-jährigen, hörten die Bewohner von St. Johann, daß124 der Feind im Anzuge auf das Dorf sei. Man wußtegar wohl, daß es derselbe neben anderem auch aufdie Kirchenglocken abgesehen habe. Darum nahmman sie vom Turme herab und versenkte sie in einemTale, das sich nordwestlich von St. Johann bis anden Fuß des Orensberges hinzieht. Durch Kriegund Krankheit wurden die meisten Bewohner ver-jagt und dahingerafft und so weiß man heute nochnicht, wo die Glocken von St. Johann ruhen.;Pfälzisches Sagenbuch
352;3;103;103. Die goldene Orgel;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Albersweiler;8.03;49.21917;"103. Die goldene Orgel.Eine Stunde von Albersweiler in einemschönen Tale liegt das Dorf Eußerthal, das voneinem ehemals bedeutenden, nun aber völlig ver-schwundenen Zisterzienserkloster den Namen hat.Nur das Chor der frühern Abteikirche steht noch unddient noch heute dem Gottesdienste.Von dem ungeheuern Reichtum des Klostersweiß man gar mancherlei zu erzählen, besondershört man viel von der goldenen Orgel sagen, welcheeinst eine Zierde der Klosterkirche war. Ihre Pfei-fen und Röhren waren von purem geläutertenGolde.Als das Kloster einmal von Feinden überfallenward, brachten die Mönche diesen Schatz zuerst inSicherheit. In einen Sumpf, der sich damals imTale ausdehnte, versenkten sie tief hinab die kostbareOrgel. Aber umsonst hatten sie das schöne Werkgerettet; sie mußten fliehen und starben in weiterFerne und ihr Kloster zerfiel in Trümmer.Wohl weiß man heute darum, daß die Orgelnoch in der Nähe ist; aber wo sie liegt, ist allenunbekannt. Jedesmal nach sieben Jahren steigt siezutage und läßt um die Mitternachtsstunde ihreherrlichen Töne erschallen. Nichts gleicht dem zar-ten Hauche dieser goldenen Flöten bei der feierlichenStille der Nacht. Bald schwellen die Töne zu mäch-tigen Wogen an und rauschen durch das enge Talhin; bald dämpft sich der Schall wieder und endetmit einem leisen Widerhall in den Bergwäldern.Aber niemand wagt sich hin den Meister und seinenherrlichen Schatz zu schauen, den vielleicht erst diefernste Zukunft wieder ans Licht bringen wird.";Pfälzisches Sagenbuch
353;3;104;104. Das goldene Kegelspiel;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Altdahn;7.80347;49.15072;104. Das goldene Kegelspiel.Das Schloß Drachenfels beim Dorfe Busen-berg in der Gegend von Dahn ist besonders sehens-wert wegen der Aushöhlungen des Felsens, auf demdie Burg steht. Totenstille herrscht jetzt in seinenöden Felsgemächern. Nur in manchen Nächten tönensonderbare Klänge aus denselben ins Tal herab.Die Geister der Burg unterhalten sich dann miteinem goldenen Kegelspiel, das schon oft die Sehn-sucht so manches Talbewohners erweckt hat, abernoch von niemand gehoben werden konnte.Zwischen der Wegelnburg, auch im Süden derPfalz, und der nahen Feste Hohenburg zieht sich aufder Anhöhe ein ebener, waldiger Platz hin, vomVolke der Stöckelgarten genannt. Das warvor Zeiten ein prächtiger Garten, worinnen dieRitter sich mit Kegelwerfen vergnügten. Sie ge-brauchten dazu gleichfalls ein goldenes Kegelspiel,das noch jetzt in dem dortigen Brunnen, dem einstso tiefen Maidenbrunnen, begraben liegt.Viele wissen auch von einem goldenen Kegel-spiel auf Schloß Altdahn zu erzählen.;Pfälzisches Sagenbuch
354;3;105;105. Der Schatz zu Beilstein;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Beilstein;8.35069;50.74796;105. Der Schatz zu Beilstein.Die Burgruine Beilstein liegt zwischen Kai-serslautern und Hochspeyer, nicht weit vom Eingangzum Heiligenberg-Tunnel. Ihre letzten Bewohnerwaren Raubritter und von einem erzählt man, daßer seinem Pferde die Eisen verkehrt aufschlagen ließum die Kaufleute zu täuschen. Er brachte viel un-recht Gut zusammen und begrub es in einem Keller.Seitdem aber die Burg in Trümmer liegt, wirdder durch Mord und Totschlag erworbene Schatz voneiner feurigen Kröte bewacht. Die ist groß wie einBackofen und hat Augen so groß wie ein zinnernerTeller. Den Schatz hat sie sich bis jetzt noch nichtentreißen lassen.Einmal versuchten zwei von Hochspeyer dort zugraben. Als es auf der Stiftskirche zu Lautern 12schlug, kam die Kröte gehüpft. Entsetzt eilten siefort und sahen nur noch, wie sich das Untier überdas aufgeschaufelte Loch ausbreitete. Andern Tagsaber lag ein großer Felsen darauf.Ein andermal gingen ein Bursche und einMädchen aus Kaiserslautern nach dem Schloß Beil-stein. Sie waren nicht mehr weit von der Ruine, alsder Bursche etwas zurückblieb. Da kam ein Froschgehüpft mit einer Krone auf dem Kopfe und einemgoldenen Schlüssel im Maule. Den gab er demMädchen und sagte ihm, es solle allein auf dasSchloß gehen, dort ausschließen und sich von denSchätzen nach Herzenslust nehmen. Doch dürfeniemand etwas davon wissen.Die Jungfrau aber eilte zu dem Burschen zurück und erzählte ihm alles. Als nun beide an dasSchloß kamen, hatte das Mädchen den goldenenSchlüssel verloren.;Pfälzisches Sagenbuch
355;3;106;106. Das weiße Fräulein an der dicken Eiche;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Enkenbach;7.9;49.48333;"106. Das weiße Fräulein an der dicken Eiche.Ein Handwerksbursche träumte, neben der dickenEiche an der Matzenberger Straße liege ein128 großer Schatz. Mit noch zwei andern Kumpanenwollte er ihn in der nächsten Nacht heben. Er grubein, zwei Meter tief in den Boden und schon trafseine Hacke auf den Deckel einer eisernen Kiste; darief plötzlich ganz laut eine Stimme: ,,Halt ein!""Es war das weiße Fräulein, das neben ihm standund also zu reden begann:,,Der Schatz soll euch werden, wenn ihr dreiBedingungen erfüllt um mich zu erlösen. Fürs erstekomme ich in der folgenden Nacht als große feurigeKröte gehüpft; dann sollt ihr nicht davon springen,sondern mich küssen. In der zweiten Nacht erscheineich als schwarzer Pudel mit feurigen Augen; auchihn müßt ihr furchtlos küssen. In der dritten Nachtendlich bin ich wieder das weiße Fräulein wie jetztund nach einem dritten Kuß ist meine Erlösung voll-bracht und der Schatz gehört euch. Wenn ihr abernicht so tut, so könnt ihr die Kiste zu Krümelnschlagen, ihr werdet nimmer den Schatz heben!""Die Burschen tranken sich in der folgendenNacht Mut an und jeder nahm noch einen tüchtigenSchluck in der Brusttasche mit. Bald hatten sie dasLoch von dem aus der vorigen Nacht war nichtsmehr zu sehen wieder aufgeschaufelt bis auf dieeiserne Kiste. Da schlug die Glocke in Entenbachzwölf und gehüpft kam eine häßliche Kröte, so großwie ein Backofen. Plumps quatsch, plumpsquatsch! und sonst war's kirchhofftill rings umher.Da entfiel den Burschen das Herz und sieflohen. Die eiserne Kiste mit dem Schatze aber ver-sank hundert Meter tief in den Boden und wardseitdem nicht mehr gesehen.";Pfälzisches Sagenbuch
356;3;107;107. Die Schätze zu Wilenstein;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Karlstal;7.74914;49.35582;"107. Die Schätze zu Wilenstein.Auf Schloß Wilenstein beim Karlstalezeigt sich den Sonntagskindern an sonniger Stelleauf der moosigen Ruine die Schlangenkönigin mitder goldenen Krone auf dem Haupte. In den unter-irdischen Gewölben steht eine eiserne Kiste, woringroße Reichtümer aufbewahrt sind, und ein Hundmit feurig glänzenden Augen sitzt darauf und hältden Schlüssel im Rachen. Ein Knecht machte ein-mal den Versuch die Schätze zu heben; aber es miß-lang. Statt des Hundes läßt sich zuweilen einschwarzer Mann in den Ruinen sehen. Die längstverschütteten Kellergewölbe sollen noch eine andereKostbarkeit bergen: einen uralten trefflichen Wein,der in seiner eigenen Haut liegt.";Pfälzisches Sagenbuch
357;3;108;108. Der Stolzenberger Schatz;A. Vom alten und neuen Glauben. (Mythische Sagen.);VI. Von Glocken und Schätzen.;Bayerfeld-Cölln;0.0;0.0;"108. Der Stolzenberger Schatz.Ein armer Mann aus dem Dorfe Stahl-berg, das auf dem Berge gleichen Namens nichtweit von dem Städtchen Rockenhausen liegt, träumtevor langer Zeit dreimal hintereinander:auf der Mannheimer Brück'solle er suchen sein Glück.Er machte sich auf, kam an und ging einenganzen Tag auf der Brücke hin und her ohne seinGlück zu finden. Als es Abend ward und der Stahl-berger seine Hoffnung schon aufgeben wollte, tratein kurpfälzischer Soldat, der ihn beobachtet hatte,auf ihn zu und fragte, was er suche. Da erzählteder Angeredete seinen Traum. Der Soldat aberlachte und sprach: ,,Dafür gebe ich nichts. Träumesind Schäume. Ich habe schon mehrmals und auchgestern Nacht wieder geträumt, auf dem Stolzen-berg hinter dem Hollerstock (Hollunderstock) seivieles Geld vergraben. Aber, was weiß ich, wo derStolzenberg ist, und wie soll ich erst den Hollerstockfinden!""Als der Stahlberger wieder daheim war, ginger eines Tages auf den Stolzenberg, einespärliche Ruine bei Bayerfeld-Cölln, grub und fanddas Geld und seine Armut hatte ein Ende. - Glei-ches erzählt man auch von dem Bolles-brunnen bei der Ruine Diemerstein, die etwasseitlich vom Neustadter Tale unweit Frankensteingelegen ist.";Pfälzisches Sagenbuch
